T_C,P_sat_Pa,P_sat_bar,rho_liq,rho_vap,mu_liq_Pas,nu_liq_m2s,sigma_Nm,Bo_1 g (ground),Bo_0.01 g (low-g),Bo_0.001 g (micro-g)
-5.0,2740100.765270692,27.40100765270692,931.7006943647331,73.44320402997116,9.80570389844612e-05,1.0524521402371606e-07,0.006282935263939072,32731.458645449125,327.3145864544913,32.73145864544912
-4.5,2776675.874322168,27.76675874322168,929.3047377088891,74.5402480367135,9.74394037201036e-05,1.0485193905320123e-07,0.006191621528688987,33128.76720264049,331.287672026405,33.128767202640496
-4.0,2813605.486620711,28.13605486620711,926.8945803526103,75.65324371754517,9.68237919339691e-05,1.0446041436247829e-07,0.006100535407733652,33536.20503357337,335.3620503357338,33.536205033573374
-3.5,2850891.8433819055,28.508918433819055,924.4699425517517,76.78250009922218,9.621013932216801e-05,1.040705975324689e-07,0.006009679142359531,33954.16348128355,339.54163481283547,33.954163481283544
-3.0,2888537.2017723396,28.885372017723398,922.0305352077128,77.92833613684192,9.559838129244101e-05,1.0368244612517615e-07,0.00591905502427354,34383.05422894769,343.8305422894769,34.383054228947685
-2.5,2926543.835460906,29.26543835460906,919.5760594213956,79.0910811746789,9.49884529198961e-05,1.0329591766412838e-07,0.005828665397391358,34823.31063413403,348.2331063413403,34.82331063413403
-2.0,2964914.0351953628,29.649140351953626,917.1062060200201,80.27107543462347,9.438028890082433e-05,1.0291096961431318e-07,0.005738512659712899,35275.38916920269,352.75389169202697,35.27538916920269
-1.5,3003650.1094048982,30.036501094048983,914.6206550547672,81.4686705342743,9.377382350443362e-05,1.025275593615568e-07,0.005648599265290479,35739.770977819906,357.3977097781991,35.73977097781991
-1.0,3042754.38483012,30.4275438483012,912.1190752670509,82.68423003688858,9.316899052231331e-05,1.0214564419128635e-07,0.005558927726295467,36216.96355863341,362.1696355863341,36.2169635586334
-0.5,3082229.207182105,30.822292071821053,909.6011235210146,83.91813003562675,9.256572321543438e-05,1.0176518126661682e-07,0.00546950061518985,36707.50258837059,367.0750258837059,36.70750258837059
0.0,3122076.9418321503,31.220769418321503,907.0664441996385,85.1707597747173,9.19639542584637e-05,1.0138612760568963e-07,0.005380320567009367,37211.95389799097,372.1195389799097,37.211953897990966
0.5,3162299.9745335407,31.622999745335406,904.5146685615896,86.4425223104282,9.136361568115628e-05,1.010084400581893e-07,0.005291390281765689,37730.915617064595,377.30915617064596,37.73091561706459
1.0,3202900.712178378,32.02900712178378,901.9454140556975,87.73383521499197,9.07646388065637e-05,1.0063207528095347e-07,0.005202712526975542,38265.020503290194,382.6502050329019,38.26502050329018
1.5,3243881.5835900703,32.438815835900705,899.3582835896094,89.0451313269407,9.016695418576304e-05,1.0025698971257552e-07,0.0051142901403253395,38814.93847603424,388.14938476034234,38.81493847603423
2.0,3285245.040354325,32.85245040354325,896.75286474888,90.37685955161275,8.957049152880095e-05,9.988313954690694e-08,0.005026126032480734,39381.37937500182,393.8137937500183,39.38137937500182
2.5,3326993.55769209,33.2699355769209,894.1287289623763,91.72948571599945,8.897517963149804e-05,9.9510480705337e-08,0.004938223190051053,39965.095967681475,399.6509596768148,39.96509596768147
3.0,3369129.635373887,33.69129635373887,891.4854306094286,93.10349348246943,8.838094629772672e-05,9.913896880772196e-08,0.004850584678719665,40566.88723207804,405.6688723207804,40.56688723207803
3.5,3411655.798682135,34.11655798682135,888.8225060637719,94.49938532640085,8.778771825675063e-05,9.87685591418316e-08,0.004763213646552162,41187.6019445263,411.87601944526307,41.1876019445263
4.0,3454574.5994215766,34.545745994215764,886.1394726687477,95.9176835832396,8.719542107515208e-05,9.83992066311519e-08,0.0046761133274952635,41828.14260611126,418.2814260611126,41.82814260611125
4.5,3497888.6169820465,34.97888616982046,883.435827637685,97.35893157108276,8.660397906283882e-05,9.803086580087951e-08,0.00458928704508068,42489.469745490715,424.89469745490715,42.48946974549071
5.0,3541600.4594569197,35.416004594569195,880.7110468727449,98.82369479552627,8.601331517255843e-05,9.766349074191482e-08,0.004502738216349159,43172.60664081043,431.7260664081043,43.17260664081042
5.5,3585712.7648210567,35.857127648210565,877.9645836947866,100.31256224424078,8.542335089230309e-05,9.729703507265783e-08,0.004416470356011677,43878.6445090133,438.786445090133,43.87864450901329
6.0,3630228.2021720354,36.30228202172035,875.1958674759697,101.82614777955432,8.483400612989793e-05,9.693145189836859e-08,0.004330487080866096,44608.74821730168,446.0874821730168,44.60874821730168
6.5,3675149.47303912,36.7514947303912,872.4043021659537,103.36509163820274,8.424519908901898e-05,9.65666937678551e-08,0.004244792114489411,45364.16257895885,453.64162578958843,45.36416257895884
7.0,3720479.3127654893,37.204793127654895,869.5892647014391,104.93006204849776,8.365684613577122e-05,9.62027126272006e-08,0.0041593892922277866,46146.21930432994,461.4621930432994,46.14621930432994
7.5,3766220.491966836,37.66220491966836,866.7501032876924,106.52175697628081,8.306886165488954e-05,9.583945977023698e-08,0.004074282566508523,46956.34468772816,469.56344687728154,46.95634468772815
8.0,3812375.818075386,38.12375818075386,863.8861355393246,108.14090601237538,8.248115789449801e-05,9.547688578542237e-08,0.003989476012500745,47796.06812258828,477.9606812258828,47.796068122588274
8.5,3858948.136971664,38.589481369716644,860.996646466073,109.78827241576077,8.18936447982441e-05,9.511494049875033e-08,0.003904973834154231,48667.03155064419,486.6703155064419,48.66703155064418
9.0,3905940.3347142884,39.05940334714288,858.0808862876621,111.46465532840134,8.130622982349498e-05,9.475357291228367e-08,0.0038207803706488204,49570.9999666067,495.709999666067,49.5709999666067
9.5,3953355.339372491,39.53355339372491,855.1380680597674,113.17089217961338,8.071881774409823e-05,9.43927311378408e-08,0.0037369001032904192,50509.87311817447,505.09873118174477,50.509873118174475
10.0,4001196.1229715142,40.01196122971514,852.1673650909436,114.90786130011043,8.013131043605755e-05,9.40323623253349e-08,0.003653337662893275,51485.698562759244,514.8569856275925,51.48569856275925
10.5,4049465.7035592594,40.494657035592596,849.16790812771,116.67648476841758,7.954360664423437e-05,9.367241258518152e-08,0.003570097837692762,52500.686267640325,525.0068626764032,52.50068626764032
11.0,4098167.147402879,40.981671474028786,846.1387822820586,118.47773151532093,7.895560172795896e-05,9.331282690413222e-08,0.003487185581837744,53557.22497016718,535.5722497016718,53.55722497016718
11.5,4147303.571328046,41.47303571328046,843.0790236721978,120.3126207153865,7.836718738315125e-05,9.295354905380926e-08,0.0034046060245171783,54657.900550016166,546.5790055001618,54.65790055001617
12.0,4196878.145212535,41.96878145212535,839.987615743386,122.18222549858736,7.777825133822278e-05,9.259452149111664e-08,0.0033223644797821025,55805.516707522336,558.0551670752234,55.80551670752234
12.5,4246894.094646241,42.4689409464624,836.8634852310887,124.08767701954667,7.718867702065526e-05,9.223568524959675e-08,0.003240466457131205,57003.11829216166,570.0311829216165,57.00311829216164
13.0,4297354.703774743,42.97354703774743,833.7054977233618,126.03016892731122,7.659834319070991e-05,9.187697982066875e-08,0.0031589176729366394,58254.017685088314,582.5401768508832,58.254017685088314
13.5,4348263.318340507,43.48263318340507,830.512452773082,128.01096228467523,7.600712353820395e-05,9.151834302353455e-08,0.003077724062796101,59561.82471140627,595.6182471140628,59.561824711406274
14.0,4399623.348942628,43.99623348942628,827.2830785033802,130.0313909933686,7.541488623769129e-05,9.115971086236009e-08,0.0029968917949081963,60930.480644281066,609.3048064428107,60.930480644281054
14.5,4451438.274533358,44.514382745333585,824.0160256410061,132.09286778987655,7.482149345666432e-05,9.080101736912253e-08,0.0029164272845804925,62364.29696747038,623.6429696747037,62.364296967470366
15.0,4503711.646177565,45.037116461775646,820.7098609022734,134.19689088671876,7.422680081056321e-05,9.044219443026995e-08,0.0028363372099943127,63867.99968964815,638.6799968964817,63.86799968964815
15.5,4556447.091097837,45.56447091097837,817.3630596442482,136.34505134577785,7.36306567573767e-05,9.008317159503629e-08,0.0027566285293670013,65446.780158443915,654.4678015844391,65.44678015844391
16.0,4609648.31703711,46.0964831703711,813.9739976796658,138.53904128434405,7.303290192343679e-05,8.972387586289754e-08,0.0026773084996719204,67106.35351131947,671.0635351131947,67.10635351131947
16.5,4663319.116971147,46.63319116971147,810.5409421371577,140.78066303127454,7.243336835060578e-05,8.936423144723613e-08,0.0025983846970992746,68853.02613310025,688.5302613310025,68.85302613310024
17.0,4717463.374208224,47.17463374208224,807.0620412281193,143.07183937059347,7.183187865335489e-05,8.900415951176092e-08,0.002519865039467354,70693.77377755572,706.9377377755571,70.6937737775557
17.5,4772085.067919457,47.72085067919458,803.5353127572461,145.41462503393092,7.122824507220591e-05,8.864357787561788e-08,0.0024417578108252578,72636.33236762308,726.3633236762308,72.63633236762307
18.0,4827188.279147283,48.271882791472834,799.9586311844292,147.81121963214107,7.062226840755263e-05,8.828240068238076e-08,0.00236407168852501,74689.30393491963,746.8930393491964,74.68930393491962
18.5,4882777.197350177,48.82777197350177,796.329713010128,150.2639822515933,7.001373681490566e-05,8.792053802721185e-08,0.0022868157730847384,76862.28071929925,768.6228071929926,76.86228071929925
19.0,4938856.12754527,49.3885612754527,792.6461002129429,152.77544798336461,6.940242443895806e-05,8.755789553536341e-08,0.0022099996212167597,79165.99115667533,791.6599115667533,79.16599115667532
19.5,4995429.498124422,49.95429498124422,788.9051414150206,155.34834670607165,6.878808985944678e-05,8.719437388386764e-08,0.002133633282456468,81612.4723824855,816.1247238248552,81.6124723824855
20.0,5052501.869429038,50.52501869429038,785.1039703854533,157.98562450751035,6.817047431627519e-05,8.682986825656521e-08,0.0020577273399028486,84215.2750283771,842.152750283771,84.21527502837709
20.5,5110077.943183027,51.10077943183027,781.2394814107488,160.69046821034013,6.754929967459674e-05,8.646426772059367e-08,0.0019822929556715793,86989.70757123386,869.8970757123386,86.98970757123385
21.0,5168162.572899909,51.68162572899909,777.3083009603342,163.46633356664356,6.692426608208299e-05,8.609745450987807e-08,0.0019073419217711862,89953.1294159078,899.5312941590778,89.95312941590778
21.5,5226760.775401334,52.26760775401334,773.3067549481744,166.3169778112637,6.62950492599811e-05,8.572930319795807e-08,0.0018328867172465182,93125.30440634904,931.2530440634904,93.12530440634903
22.0,5285877.743606155,52.85877743606155,769.2308307312443,169.2464974217597,6.566129735615716e-05,8.53596797384452e-08,0.0017589405725977796,96528.82977302256,965.2882977302256,96.52882977302255
22.5,5345518.860783186,53.45518860783186,765.0761327814826,172.25937213391785,6.502262727125352e-05,8.498844034626941e-08,0.00168551754268647,100189.65993022904,1001.8965993022904,100.18965993022903
23.0,5405689.716491482,54.05689716491482,760.8378307059509,175.36051651955412,6.437862034718981e-05,8.461543018629275e-08,0.001612632589591984,104137.75045006431,1041.377504500643,104.13775045006429
23.5,5466396.124483755,54.66396124483755,756.5105979511037,178.5553407669808,6.372881727895069e-05,8.424048182742013e-08,0.0015403016771992147,108407.85555488357,1084.0785555488358,108.40785555488355
24.0,5527644.142899348,55.276441428993486,752.0885390847077,181.8498227398671,6.30727120736589e-05,8.38634134093021e-08,0.001468541879697576,113040.52345014382,1130.4052345014381,113.0405234501438
24.5,5589440.097147191,55.89440097147191,747.5651029658663,185.25059396389042,6.240974483230088e-05,8.348402645428259e-08,0.0013973715066813279,118083.34903294312,1180.8334903294312,118.0833490329431
25.0,5651790.605968139,56.517906059681394,742.9329783371912,188.7650429545607,6.173929306474901e-05,8.310210323807662e-08,0.001326810248196489,123592.56484970408,1235.9256484970408,123.59256484970406
25.5,5714702.611278911,57.14702611278911,738.1839673272909,192.4014403280175,6.106066116160644e-05,8.271740360697075e-08,0.0012568793439301249,129635.0815018045,1296.3508150180448,129.63508150180448
26.0,5778183.412550547,57.78183412550547,733.3088309265893,196.16909153820924,6.037306752781866e-05,8.232966109453895e-08,0.0011876017818539413,136291.13241443245,1362.9113241443245,136.2911324144324
26.5,5842240.706663747,58.422407066637476,728.2970985310648,200.0785250190185,5.967562871934672e-05,8.193857814305342e-08,0.001119002533114889,143657.7418871353,1436.5774188713526,143.65774188713524
27.0,5906882.634439757,59.06882634439757,723.1368308914599,204.14172621970988,5.896733969526305e-05,8.154382016826609e-08,0.0010511088319554262,151853.33064091898,1518.5333064091897,151.85333064091895
27.5,5972117.835384793,59.721178353847925,717.8143218830872,208.37243187711468,5.824704897230592e-05,8.11450081122689e-08,0.0009839505121559474,161023.91760586144,1610.2391760586145,161.02391760586144
28.0,6037955.51264434,60.3795551264434,712.313718834698,212.78650444516043,5.7513426998758275e-05,8.074170899424309e-08,0.0009175604152379858,171351.60037283154,1713.5160037283154,171.35160037283154
28.5,6104405.510799496,61.044055107994964,706.6165327837654,217.40241482616298,5.676492537221655e-05,8.033342377171271e-08,0.0008519748909311142,183066.35073275567,1830.6635073275568,183.06635073275564
29.0,6171478.410018953,61.714784100189526,700.7009974198371,222.24187392911537,5.599972348504495e-05,7.99195715308676e-08,0.0007872344179395519,196462.73604283566,1964.6273604283563,196.46273604283562
29.5,6239185.641346587,62.39185641346587,694.5412160490508,227.3306726596953,5.521565758024831e-05,7.949946857631671e-08,0.0007233843840459958,211924.13507046222,2119.2413507046226,211.9241350704622
30.0,6307539.629736164,63.075396297361635,688.1060051740451,232.69982012675356,5.441012467263157e-05,7.907230029022843e-08,0.0006604760810259131,229958.66520423195,2299.5866520423197,229.9586652042319
30.5,6376553.974186709,63.765539741867094,681.3572931922067,238.38711902416244,5.357994968047294e-05,7.863708250549006e-08,0.0005985679950405974,251253.97579877218,2512.5397579877217,251.2539757987721
31.0,6446243.678519854,64.46243678519855,674.2478482842123,244.43940001630764,5.2721197204214e-05,7.819260727101453e-08,0.0005377275129499515,276763.5144724022,2767.6351447240227,276.7635144724022
31.5,6516625.452960135,65.16625452960136,666.7179616113916,250.9157821500638,5.1828897318251684e-05,7.77373646766413e-08,0.0004780332299283968,307847.47348781023,3078.4747348781025,307.8474734878102
32.0,6587718.117508708,65.87718117508707,658.690440641699,257.8925925119886,5.089663268369575e-05,7.726942664313155e-08,0.0004195781540675648,346513.387556462,3465.13387556462,346.513387556462
32.5,6659543.1565881,66.595431565881,650.062742533808,265.4710932834636,4.991589177877209e-05,7.67862677134986e-08,0.00036247429990593727,395849.0267668892,3958.490267668892,395.84902676688915
33.0,6732125.507617466,67.32125507617467,640.6939942541303,273.79022688003124,4.887500570301028e-05,7.628447611704017e-08,0.00030685953209702176,460853.14969792153,4608.531496979215,460.8531496979215
33.5,6805494.729486326,68.05494729486325,630.3822257208128,283.0489635471449,4.7757291882585014e-05,7.575926149881014e-08,0.0002529082645684105,550164.3728791211,5501.64372879121,550.1643728791211
34.0,6879686.827290398,68.79686827290398,618.821162516609,293.5486991839969,4.6537551377126924e-05,7.520355507537748e-08,0.0002008492555877639,680058.7868586543,6800.587868586543,680.0587868586542
34.5,6954747.30594489,69.5474730594489,605.5090628654575,305.78268202587464,4.517473267427054e-05,7.460620401037374e-08,0.00015099776256506984,885118.9953452692,8851.189953452693,885.1189953452691
35.0,7030736.794472394,70.30736794472394,589.5249177011813,320.6554813565038,4.359409635410114e-05,7.39478435009903e-08,0.00010382089792856502,1253340.0313020367,12533.400313020367,1253.3400313020366
35.5,7107743.004823126,71.07743004823126,568.8302435549191,340.16748441029665,4.1632337556416755e-05,7.31893882720342e-08,6.009722211486826e-05,2089198.9860808686,20891.989860808684,2089.1989860808685
